Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield,cluster_kmeans,dbscan_label
"Rice, paddy",2604.59,18.19,83.44,26.43,29855,2.0,-1.0
"Rice, paddy",2308.51,18.27,83.65,26.47,40223,2.0,-1.0
"Rice, paddy",2410.13,18.58,83.45,26.81,39775,2.0,-1.0
"Rice, paddy",2967.41,18.67,85.48,26.46,37496,0.0,-1.0
"Rice, paddy",2333.46,18.5,84.85,26.43,37704,2.0,-1.0
"Rice, paddy",2109.34,18.51,83.52,26.72,42550,2.0,-1.0
"Rubber, natural",2248.92,17.72,83.4,26.01,9322,1.0,-1.0
"Rubber, natural",1938.42,17.54,82.11,26.11,9223,1.0,-1.0
"Rubber, natural",2301.54,17.81,82.79,26.24,9866,1.0,-1.0
"Rubber, natural",2592.35,17.61,85.07,25.56,9718,1.0,-1.0
"Rubber, natural",2344.72,17.61,84.12,25.76,9573,1.0,-1.0
"Rubber, natural",2339.3,17.7,84.54,25.76,10024,1.0,-1.0
"Rubber, natural",2061.61,17.8,84.36,25.88,8604,1.0,-1.0
"Rubber, natural",1934.62,17.94,83.43,26.21,8002,1.0,-1.0
"Rubber, natural",2414.79,18.18,85.76,25.93,6562,0.0,-1.0
"Rubber, natural",1999.53,18.2,84.36,26.27,6008,2.0,-1.0
"Rubber, natural",2362.8,18.7,84.03,26.79,5693,2.0,-1.0
"Rubber, natural",2792.95,18.24,86.04,25.95,5249,0.0,1.0
"Rubber, natural",2302.99,18.22,84.48,26.25,6597,2.0,-1.0
"Rubber, natural",2424.55,18.28,85.16,26.18,9139,0.0,-1.0
"Rubber, natural",2363.63,18.35,84.92,26.28,8857,2.0,-1.0
"Rubber, natural",2892.78,18.49,86.09,26.18,10159,0.0,-1.0
"Rubber, natural",3085.79,18.34,86.1,26.03,8599,0.0,-1.0
"Rubber, natural",2922.18,18.43,85.51,26.23,8337,0.0,-1.0
"Rubber, natural",2546.33,18.43,84.23,26.49,9205,2.0,-1.0
"Rubber, natural",2938.29,18.22,85.42,26.06,9701,0.0,-1.0
"Rubber, natural",2771.73,18.38,84.98,26.3,8865,0.0,-1.0
"Rubber, natural",2607.96,18.37,84.67,26.35,7817,2.0,-1.0
"Rubber, natural",2604.59,18.19,83.44,26.43,6275,2.0,-1.0
"Rubber, natural",2308.51,18.27,83.65,26.47,6721,2.0,-1.0
"Rubber, natural",2410.13,18.58,83.45,26.81,6248,2.0,-1.0
"Rubber, natural",2967.41,18.67,85.48,26.46,6842,0.0,-1.0
"Rubber, natural",2333.46,18.5,84.85,26.43,5571,2.0,-1.0
"Rubber, natural",2109.34,18.51,83.52,26.72,5903,2.0,-1.0
